U(V)	I(10,000E-3)	dI
0,00000000000E+0	7,77533428196E-6	2,69275778302E-9
2,00000000000E+0	7,49213633258E-6	2,36242094346E-9
4,00000000000E+0	7,20357352924E-6	3,13851684949E-9
6,00000000000E+0	6,91525568580E-6	2,07121113299E-9
8,00000000000E+0	6,64880235645E-6	1,16356812939E-8
1,00000000000E+1	6,34461247622E-6	1,03712810392E-8
1,20000000000E+1	6,02910692291E-6	2,35271173484E-9
1,40000000000E+1	5,73445246593E-6	2,79583601472E-9
1,60000000000E+1	5,43581799774E-6	2,02487825401E-9
1,80000000000E+1	5,13408725602E-6	2,21986622246E-9
2,00000000000E+1	4,84161335452E-6	3,92366567760E-9
2,20000000000E+1	4,54168212624E-6	2,74251593635E-9
2,40000000000E+1	4,24799070200E-6	1,98818029959E-9
2,60000000000E+1	3,95856427998E-6	1,59146054980E-9
2,80000000000E+1	3,68175353790E-6	3,76118817690E-9
3,00000000000E+1	3,41754726773E-6	2,35694124581E-9
3,20000000000E+1	3,17494454064E-6	1,73560527777E-9
3,40000000000E+1	2,95852574029E-6	1,58558009506E-9
3,60000000000E+1	2,77925112961E-6	1,94668898375E-9
3,80000000000E+1	2,64364947668E-6	6,24675674340E-9
4,00000000000E+1	2,53625377549E-6	1,63519329949E-9
4,20000000000E+1	2,46511612125E-6	1,85192822904E-9
4,40000000000E+1	2,42501093604E-6	1,72413773624E-9
4,60000000000E+1	2,41448293470E-6	1,89639016840E-9
4,80000000000E+1	2,43143003905E-6	1,72409272166E-9
5,00000000000E+1	2,47545120533E-6	3,91622999082E-9
5,20000000000E+1	2,52516543336E-6	2,39204006725E-9
5,40000000000E+1	2,59224942313E-6	1,82679680095E-9
5,60000000000E+1	2,66090797067E-6	2,67199940871E-9
5,80000000000E+1	2,74077653488E-6	2,18542029366E-9
6,00000000000E+1	2,83187913060E-6	2,86983487700E-9
