U(V)	I(10,000E-3)	dI
0,00000000000E+0	9,04929293008E-6	2,21308061821E-9
2,00000000000E+0	8,79330589401E-6	2,45559036559E-9
4,00000000000E+0	8,53547454497E-6	4,61427163423E-9
6,00000000000E+0	8,27471982617E-6	2,31224161273E-9
8,00000000000E+0	8,01770179131E-6	3,47395409468E-9
1,00000000000E+1	7,75556304917E-6	2,59409492141E-9
1,20000000000E+1	7,48993099049E-6	4,58345032648E-9
1,40000000000E+1	7,22297653650E-6	2,74386851442E-9
1,60000000000E+1	6,95195001396E-6	1,85405896431E-9
1,80000000000E+1	6,68043200173E-6	3,98364517170E-9
2,00000000000E+1	6,41674756482E-6	2,80607393817E-9
2,20000000000E+1	6,14862683733E-6	2,50702958779E-9
2,40000000000E+1	5,86966432262E-6	2,51586782598E-9
2,60000000000E+1	5,60043333688E-6	2,27163971910E-9
2,80000000000E+1	5,32632659336E-6	1,74252453215E-9
3,00000000000E+1	5,04534127403E-6	2,27226802739E-9
3,20000000000E+1	4,76210579444E-6	3,06698138801E-9
3,40000000000E+1	4,47882309441E-6	2,61149617615E-9
3,60000000000E+1	4,20148962064E-6	2,05698588984E-9
3,80000000000E+1	3,91604962428E-6	1,97711498923E-9
4,00000000000E+1	3,64294513718E-6	2,09283972521E-9
4,20000000000E+1	3,37956737176E-6	2,42620971556E-9
4,40000000000E+1	3,14266491173E-6	2,56038923134E-9
4,60000000000E+1	2,93829984149E-6	1,87947593798E-9
4,80000000000E+1	2,77169933768E-6	2,15293351271E-9
5,00000000000E+1	2,63881453681E-6	2,08095039922E-9
5,20000000000E+1	2,54600690578E-6	1,50598848960E-9
5,40000000000E+1	2,48688775915E-6	1,50861917787E-9
5,60000000000E+1	2,45727215186E-6	1,56319945216E-9
5,80000000000E+1	2,45367716599E-6	1,45679889800E-9
6,00000000000E+1	2,47118461110E-6	1,70133631862E-9
